type	synonym_id	repository_of_synonym_id	associated_id	domain_description	domain_category	data_location	id	study.id	participant.id	sample.id
synonym	4012579_dbGaP_subject_id	dbGaP_subject_id	4012579	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	666b88af-435a-5e41-8863-589999b80fc5		73d0a2c7-0002-5e74-9af7-27b7ec0bd49a	
synonym	4012576_dbGaP_subject_id	dbGaP_subject_id	4012576	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	66e38523-a1e7-5e0e-b751-e4b9321a22cb		5a0d1baf-d3d6-5440-be4f-a9512219869f	
synonym	5363334_dbGaP_subject_id	dbGaP_subject_id	5363334	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	6db7655f-3985-52f7-85ec-78bb26030fd5			63f45902-c85d-5973-a9a8-0119264ea422
synonym	4012592_dbGaP_subject_id	dbGaP_subject_id	4012592	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	6eb7fb8c-de0d-515c-8918-f34aee3f5f53		4e03d5a5-7c40-566e-b1b5-d15ca1a561aa	
synonym	5363349_dbGaP_subject_id	dbGaP_subject_id	5363349	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	732fc753-4b59-5091-a689-7b940869837a			321721ac-01c8-501f-b317-f45d8987d72a
synonym	4012571_dbGaP_subject_id	dbGaP_subject_id	4012571	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	754f1ddd-7d11-51df-b94b-0f179333eccf		206c3df1-6a66-5805-9256-db321b4f1229	
synonym	5363345_dbGaP_subject_id	dbGaP_subject_id	5363345	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	7f6bd523-2fb2-5ab8-afbc-96de5a4e3e56			d808199a-3b90-5a01-80bb-86c8e08fdcb2
synonym	4012578_dbGaP_subject_id	dbGaP_subject_id	4012578	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	7fd193f2-c00c-5697-b5aa-40d37b9e994d		7c2a6ed4-1136-5700-a2b7-1012db51d181	
synonym	5363360_dbGaP_subject_id	dbGaP_subject_id	5363360	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	81f73ccd-11c4-56ed-a78e-6046e3290a14			da864933-e927-50bd-8265-d49c4cf30473
synonym	4012573_dbGaP_subject_id	dbGaP_subject_id	4012573	dbGaP-generated person level ID	dataset	https://www.ncbi.nlm.nih.gov/gap/sstr/report/phs002371	8dedd964-c65b-5af4-846b-79e53b60106d		48e66daf-ecc2-5bda-8116-0d0e226f8295	
