type	synonym_id	repository_of_synonym_id	associated_id	domain_description	domain_category	data_location	id	study.id	participant.id	sample.id
synonym	SAMN30373222_BioSample	BioSample	SAMN30373222	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	d5893e1c-67ab-5a9d-93cc-ca8ddfcc8b21			6a97cf3c-32a2-5e80-a2fa-b5788f3fe907
synonym	SAMN30374054_BioSample	BioSample	SAMN30374054	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	f563b0f5-a4ea-5286-bc9a-38ee25ada00e			5a911713-d051-507d-a9ff-c5169184f00c
synonym	SAMN30374465_BioSample	BioSample	SAMN30374465	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	64becbea-9112-5479-85c2-7f0d80fce33c			8f9fc24e-bb22-598e-b6f3-fda6ba18ffe5
synonym	SAMN30374101_BioSample	BioSample	SAMN30374101	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	ff132a00-2206-5c93-bced-ca517815bb7b			80a9bb45-65c8-5e10-a4c4-c84eca6e2243
synonym	SAMN30374427_BioSample	BioSample	SAMN30374427	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	e7c1964a-ce82-5e15-a012-0a20054b7fa4			6a09f7cc-23b8-5409-8f32-e65fec8a1f31
synonym	SAMN30374075_BioSample	BioSample	SAMN30374075	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	edafb1e1-af55-5b5d-81fd-1e34f491e966			0239d8f2-4429-5e31-a784-a975a941ef19
synonym	SAMN30373851_BioSample	BioSample	SAMN30373851	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	847e1685-9959-5be0-93e1-ddd228c862d4			f2f2f9f9-afd6-53fa-b622-5e965a6c31bc
synonym	SAMN30373731_BioSample	BioSample	SAMN30373731	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	ae931cf7-e53b-5b4a-9822-3384592f800e			c8004232-21f3-5976-ad1c-3fb98441c35d
synonym	SAMN30373095_BioSample	BioSample	SAMN30373095	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	d08268a3-3d0e-5315-840b-0bf6d2c9bd70			96bee730-3240-58e9-943e-0b6bdae18964
synonym	SAMN30373921_BioSample	BioSample	SAMN30373921	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	39c7b7ed-2178-5e29-88db-f894a8bb170a			100a068b-994a-55f0-886e-b26774b6a5b3
synonym	SAMN30373635_BioSample	BioSample	SAMN30373635	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	1e3eafec-2bd0-5d4e-aa57-9588988245fc			4bc90b3f-00ec-57de-8045-a67edbdec15a
synonym	SAMN30373909_BioSample	BioSample	SAMN30373909	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	0c4fcdd8-d7d3-5a7a-af38-c11415e4c1f6			7022e529-7480-5863-a69a-4ccfc4f2b0e8
synonym	SAMN30374429_BioSample	BioSample	SAMN30374429	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	622318fb-66b9-5ff9-ae48-98599772d737			d63f9387-0490-5652-b10c-eed8a51eab15
synonym	SAMN30373766_BioSample	BioSample	SAMN30373766	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	e055e4e3-f493-532a-a038-fca631763ab9			656b89eb-6ab4-59a7-9aa2-8a6bc9136012
synonym	SAMN30373572_BioSample	BioSample	SAMN30373572	BioSample	dataset	https://www.ncbi.nlm.nih.gov/biosample	1ae6c161-db43-5257-82dd-07894281abfd			2f6363c7-3c6f-51d0-ba7b-9fae6f9ab4a0
