type	 case.case_id	demographic_id	breed	additional_breed_detail	patient_age_at_enrollment	date_of_birth	sex	weight	neutered_indicator
demographic	OSA02-T223986	OSA02-T223986	Greyhound		7	5/1/1999	Male	34	Yes
demographic	OSA02-T212759	OSA02-T212759	Golden Retriever		10.9	1/1/1994	Male	39	Yes
demographic	OSA02-T208911	OSA02-T208911	Doberman Pinscher		8.1	4/1/1996	Female	43	Yes
demographic	OSA02-T208756	OSA02-T208756	Labrador Retriever		10.3	2/1/1994	Female	39	Yes
demographic	OSA02-T208513	OSA02-T208513	Greyhound		7.1	3/1/1997	Male	35	Yes
demographic	OSA02-T204714	OSA02-T204714	Greyhound		8	10/5/1995	Female	30	Yes
demographic	OSA02-T193231	OSA02-T193231	Mixed Breed		12.4	10/17/1989	Male	26	Yes
demographic	OSA02-T190030	OSA02-T190030	Mixed Breed		13.5	5/1/1988	Male	31	Yes
demographic	OSA02-T188084	OSA02-T188084	Rottweiler		10.4	3/3/1991	Male	53	Yes
demographic	OSA02-T184844	OSA02-T184844	Greyhound		4.8	4/26/1996	Male	36	Yes
demographic	OSA02-T180223	OSA02-T180223	Mixed Breed		11.6	1/1/1989	Female	40	Yes
demographic	OSA02-T180119	OSA02-T180119	Mixed Breed		10.4	3/1/1990	Female	31	Yes
demographic	OSA02-T179891	OSA02-T179891	Mixed Breed		9.2	5/1/1991	Female	32	Yes
demographic	OSA02-T173175	OSA02-T173175	Rottweiler		5.2	6/1/1994	Male	42	Yes
demographic	OSA02-T168327	OSA02-T168327	Golden Retriever		8.1	10/25/1990	Female	30.39	Yes
demographic	OSA02-T153599	OSA02-T153599	Mixed Breed		9	11/10/1987	Female	36	Yes
demographic	OSA02-T881	OSA02-T881	Labrador Retriever		8.5	3/20/1999	Male	30.5	Yes
demographic	OSA02-T763	OSA02-T763	Great Dane		8	4/11/1999	Female	46	Yes
demographic	OSA02-T497	OSA02-T497	Rottweiler		6.9	4/16/1999	Male	39.5	Yes
demographic	OSA02-T448	OSA02-T448	Great Pyrenees		4.8	4/5/2001	Male	37	Yes
demographic	OSA02-T430	OSA02-T430	Great Pyrenees		5.1	12/1/2000	Male	45.8	Yes
demographic	OSA02-T362	OSA02-T362	Australian Shepherd		10.4	5/9/1995	Male	32.8	Yes
demographic	OSA02-T266	OSA02-T266	Great Dane		6	2/17/1999	Female	80	No
demographic	OSA02-T15	OSA02-T15	Mixed Breed		6.6	3/21/1997	Male	41.9	Yes
demographic	OSA02-T105	OSA02-T105	Mixed Breed		8.8	10/6/1995	Male	32.1	Yes
demographic	OSA02-T-999	OSA02-T-999	Saint Bernard		4.2	1/1/2004	Female	54	Yes
demographic	OSA02-T-992	OSA02-T-992	Mixed Breed		11.1	1/30/1997	Female	40	Yes
demographic	OSA02-T-907	OSA02-T-907	Leonberger		5.3	7/19/2002	Male	50	Yes
demographic	OSA02-T-856	OSA02-T-856	Rottweiler		7.5	2/20/2000	Female	42	Yes
demographic	OSA02-T-843	OSA02-T-843	Rottweiler		7.9	9/15/1999	Male	56	Yes
demographic	OSA02-T-74	OSA02-T-74	Akita		9.4	12/1/1994	Female	31.8	Yes
demographic	OSA02-T-554	OSA02-T-554	Labrador Retriever		11.4	1/29/1995	Male	31	Yes
demographic	OSA02-T-458	OSA02-T-458	Greyhound		6.1	1/1/2000	Female	26.4	Yes
demographic	OSA02-T-424	OSA02-T-424	German Shorthaired Pointer		9.8	3/1/1996	Male	35	Yes
demographic	OSA02-T-399	OSA02-T-399	Greyhound		7.1	10/21/1998	Female	26.5	Yes
demographic	OSA02-T-346	OSA02-T-346	Irish Wolfhound		5.6	3/1/2000	Male	62	No
demographic	OSA02-T-343	OSA02-T-343	Mixed Breed		6.9	11/1/1998	Male	21.5	Yes
demographic	OSA02-T-276	OSA02-T-276	Mixed Breed		11.8	9/14/1993	Female	19.1	Yes
demographic	OSA02-T-153	OSA02-T-153	Mastiff		7.5	4/26/1997	Male	52.2	Yes
demographic	OSA02-T-149	OSA02-T-149	Great Dane		6.6	4/2/1998	Female	57	Yes
demographic	OSA02-T-134	OSA02-T-134	Golden Retriever		10.8	1/2/1994	Female	36	Yes
demographic	OSA02-T-1272	OSA02-T-1272	Labrador Retriever		7.7	11/25/2002	Female	36.5	Yes
demographic	OSA02-T-1247	OSA02-T-1247	Labrador Retriever		7.1	3/19/2003	Male	31	Yes
demographic	OSA02-T-1246	OSA02-T-1246	Other	Coonhound	8.9	5/24/2001	Female	28	Yes
demographic	OSA02-T-1192	OSA02-T-1192	Labrador Retriever		7.2	6/1/2002	Male	46	Yes
demographic	OSA02-T-1166	OSA02-T-1166	Old English Sheepdog		6.5	11/8/2001	Male	38	No
demographic	OSA02-T-1096	OSA02-T-1096	Flat-Coated Retriever		8.7	2/23/2000	Female	27.8	Yes
demographic	OSA02-T-1087	OSA02-T-1087	Rhodesian Ridgeback		9.4	5/31/1999	Male	47.5	No
demographic	OSA02-T-1023	OSA02-T-1023	Labrador Retriever		9.8	7/1/1998	Male	34.6	Yes
demographic	OSA02-T9B	OSA02-T9B	Norwegian Elkhound		8	3/12/2008	Female	17	Yes
demographic	OSA02-T8A	OSA02-T8A	Akita		11	3/14/2005	Male	47.8	Yes
demographic	OSA02-T7B	OSA02-T7B	Alaskan Malamute		4.9	3/3/2011	Male	56	Yes
demographic	OSA02-T70B	OSA02-T70B	Golden Retriever		10.8	1/30/2008	Male	34.1	Yes
demographic	OSA02-T6C	OSA02-T6C	Mixed Breed		6.5	7/23/2009	Female	27	Yes
demographic	OSA02-T68A	OSA02-T68A	Mixed Breed		10.3	4/1/2008	Male	29.4	Yes
demographic	OSA02-T67A	OSA02-T67A	German Shepherd Dog		12.6	12/29/2005	Female	27.4	Yes
demographic	OSA02-T63B	OSA02-T63B	Saint Bernard		9.1	4/9/2009	Male	60	No
demographic	OSA02-T62A	OSA02-T62A	Mixed Breed		9.7	10/10/2008	Male	38.4	Yes
demographic	OSA02-T61C	OSA02-T61C	Mixed Breed		8.1	4/1/2010	Female	35.5	Yes
demographic	OSA02-T5B	OSA02-T5B	Golden Retriever		11.3	8/1/2004	Male	38.1	Yes
demographic	OSA02-T59A	OSA02-T59A	Mixed Breed		10.1	3/1/2008	Male	34.3	Yes
demographic	OSA02-T57C	OSA02-T57C	Mixed Breed		7.3	10/31/2010	Male	52.5	Yes
demographic	OSA02-T56C	OSA02-T56C	Greyhound		8.3	11/1/2009	Female	32	Yes
demographic	OSA02-T55C	OSA02-T55C	Belgian Tervuren		9.1	12/17/2008	Female	22.7	Yes
demographic	OSA02-T54B	OSA02-T54B	Akita		8.5	8/1/2009	Female	43	Yes
demographic	OSA02-T53B	OSA02-T53B	Mixed Breed		10	1/1/2008	Female	43.5	Yes
demographic	OSA02-T52A	OSA02-T52A	Golden Retriever		7.3	9/24/2010	Male	38.4	Yes
demographic	OSA02-T51C	OSA02-T51C	Irish Wolfhound		9	1/11/2009	Male	41.4	Yes
demographic	OSA02-T50C	OSA02-T50C	Alaskan Malamute		5.8	4/25/2012	Male	41.2	Yes
demographic	OSA02-T4B	OSA02-T4B	Mixed Breed		5.2	9/1/2010	Male	70	Yes
demographic	OSA02-T49B	OSA02-T49B	Golden Retriever		10.4	7/7/2007	Female	34.6	Yes
demographic	OSA02-T47A	OSA02-T47A	Labrador Retriever		9.3	8/23/2008	Female	42	Yes
demographic	OSA02-T46A	OSA02-T46A	Airedale Terrier		9.1	9/1/2008	Male	42.7	Yes
demographic	OSA02-T45A	OSA02-T45A	Saint Bernard		7.3	7/5/2010	Female	46.5	Yes
demographic	OSA02-T43A	OSA02-T43A	Great Dane		1.4	5/14/2016	Male	51	Yes
demographic	OSA02-T42A	OSA02-T42A	Golden Retriever		8.7	1/1/2009	Female	36.3	Yes
demographic	OSA02-T41B	OSA02-T41B	Golden Retriever		12.7	1/5/2005	Male	36	Yes
