type	sample_id	case.case_id	comment	crdc_id	date_of_sample_collection	general_sample_pathology	length_of_tumor	molecular_subtype	necropsy_sample	percentage_tumor	physical_sample_type	sample_chronology	sample_preservation	sample_site	specific_sample_pathology	summarized_sample_type	tumor_grade	tumor_sample_origin	volume_of_tumor	width_of_tumor
sample	COTC026-0230-T	COTC026-0230		cff92fc1-77c1-4d6f-ac8c-51d03dcce2e9		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0232-T	COTC026-0232		816f9778-9d36-47f5-af2b-5eb7685fcd6e		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0233-T	COTC026-0233		30a8d177-b409-4d39-be7f-180fbb4628ce		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0234-T	COTC026-0234		e5bc063a-7d01-4ed2-8be7-231cbf0fa143		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0240-T	COTC026-0240		7a8e5be7-ee22-4fe3-b459-56060ecd87a9		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0241-T	COTC026-0241		1a14bed6-0b01-4e6a-a7b2-4e6144bacb86		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0242-T	COTC026-0242		3e6b21ff-767c-42a6-863a-97539ef6f960		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0243-T	COTC026-0243		8d251646-b304-4414-8277-b90015a4e671		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0246-T	COTC026-0246		24b5b1aa-8816-49cf-9600-01608124a963		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0247-T	COTC026-0247		29801289-f108-4421-abc6-bdf695bf4ed9		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0341-T	COTC026-0341		e451a1fa-ecf7-48ef-aca6-6fcaeab1b832		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0345-T	COTC026-0345		006ba531-169a-4846-b1a8-62355db31e00		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0346-T	COTC026-0346		8af53f0a-a125-451a-8a07-42867af2aa32		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0347-T	COTC026-0347		316378a8-1158-4a9e-850b-5a0640d9268e		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0349-T	COTC026-0349		5d1baad6-b924-4d4a-8ffb-c25da0384296		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0415-T	COTC026-0415		ef7be2e8-a455-4e59-aa57-28d256c754fb		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0416-T	COTC026-0416		534c5523-d3df-4666-9105-aa6e84f22e3c		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0417-T	COTC026-0417		99c05442-9090-4b9f-b001-e3e480fe55d0		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0418-T	COTC026-0418		b63016ce-da67-4177-89fe-e133a0b7f22c		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0422-T	COTC026-0422		d7db1672-580c-4544-8a97-9bccecf17402		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0424-T	COTC026-0424		96926394-b40e-4570-9b2c-9b4653e4c06e		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0425-T	COTC026-0425		9bfde559-9558-41c8-8dd7-da81bf9e888a		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0427-T	COTC026-0427		42e00b47-0771-4394-9e57-ce34a9a5de5a		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0428-T	COTC026-0428		50e50eda-65bf-4445-b65d-b476a65d9895		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0429-T	COTC026-0429		0f10eaa4-1845-46c9-a0a1-f12149f93708		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0430-T	COTC026-0430		c805accd-65dd-4049-9121-8c55b4633e97		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0432-T	COTC026-0432		ea063c46-ad98-46c2-be75-134b6c017a7d		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0530-T	COTC026-0530		93392010-e6da-4b2e-ae7f-1d8da6d4feda		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0536-T	COTC026-0536		e02ed60c-d524-463b-8162-f9a5a45031dd		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0537-T	COTC026-0537		4a5e207f-a6a2-48a6-9ab5-ff98e37566c9		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0651-T	COTC026-0651		b3f341c6-2d07-4dd1-9ccd-22ee056b3790		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0653-T	COTC026-0653		599d0b89-95eb-4a77-9357-a247beb27f49		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0654-T	COTC026-0654		087c1346-3de1-476c-b58f-b5fda40641af		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0655-T	COTC026-0655		1fdc10ad-473f-43ec-93bd-9b18ddd863a0		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0657-T	COTC026-0657		433a94b1-8374-41b0-bbb6-6bb0198af52b		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0820-T	COTC026-0820		486ee973-efd8-4de0-9dd0-463076fcd90d		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0822-T	COTC026-0822		a014a009-ba56-4bd0-876b-94f96a211eab		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0823-T	COTC026-0823		861a7f6f-bcd3-4d79-84a1-93ed3de02012		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0824-T	COTC026-0824		3de5299c-68b9-40c9-8246-8848f35c7ef6		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0825-T	COTC026-0825		9445beec-8ec0-4598-ad20-85ce74effc79		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0921-T	COTC026-0921		fefa4a70-d2f9-4afe-848a-08874be64427		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0923-T	COTC026-0923		a9446bd4-ff3d-4b0b-af1b-f58048fdb5cd		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0924-T	COTC026-0924		0ee23298-3a58-4f43-99ba-fedf5930fae0		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0925-T	COTC026-0925		dc1122dc-c2a8-415d-8843-1ec470c9d2e5		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0926-T	COTC026-0926		7ccc5370-1d86-4120-a55b-6082d5cd4eb4		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
sample	COTC026-0927-T	COTC026-0927		f4eb0bf9-2889-44d3-8724-5a91ebbb20dd		Malignant			No	Not Determined	Tissue	Before Treatment	RNAlater	Bone	Osteosarcoma	Primary Malignant Tumor Tissue	Not Applicable	Primary		
