type	case.case_id	demographic_id	breed	additional_breed_detail	patient_age_at_enrollment	date_of_birth	sex	weight	neutered_indicator
demographic	OSA03-DOS-00	OSA03-DOS-00	Rottweiler			4/18/90	Female		Yes
demographic	OSA03-DOS-02	OSA03-DOS-02	Rottweiler				Male		Unknown
demographic	OSA03-DOS-04	OSA03-DOS-04	Rottweiler			9/8/90	Female		Unknown
demographic	OSA03-DOS-0828	OSA03-DOS-0828	Mastiff				Male	73.3	Yes
demographic	OSA03-DOS-0829	OSA03-DOS-0829	Flat-Coated Retriever				Male	29	Yes
demographic	OSA03-DOS-0930	OSA03-DOS-0930	Newfoundland				Male	57.6	Yes
demographic	OSA03-DOS-0931	OSA03-DOS-0931	Great Pyrenees				Female	44.9	Yes
demographic	OSA03-DOS-0932	OSA03-DOS-0932	Unknown				Unknown		Unknown
demographic	OSA03-DOS-0934	OSA03-DOS-0934	Rottweiler			7/1/01	Male	55	Yes
demographic	OSA03-DOS-0939	OSA03-DOS-0939	Great Pyrenees				Female	38.9	Yes
demographic	OSA03-DOS-0940	OSA03-DOS-0940	Saint Bernard			5/17/03	Male	67.4	Yes
demographic	OSA03-DOS-0941	OSA03-DOS-0941	Labrador Retriever			12/1/01	Male	46.4	Yes
demographic	OSA03-DOS-0942	OSA03-DOS-0942	Irish Wolfhound			11/5/03	Female	71.8	Yes
demographic	OSA03-DOS-0944	OSA03-DOS-0944	German Shepherd Dog				Unknown	40.9	Unknown
demographic	OSA03-DOS-0945	OSA03-DOS-0945	Rottweiler			2/14/05	Male	45.7	Yes
demographic	OSA03-DOS-0951	OSA03-DOS-0951	Mixed Breed	German Shepherd Dog		9/24/01	Male	46.3	Yes
demographic	OSA03-DOS-0956	OSA03-DOS-0956	Golden Retriever			1/4/01	Male	37.6	Yes
demographic	OSA03-DOS-09	OSA03-DOS-09	Irish Setter			4/8/92	Male		Unknown
demographic	OSA03-DOS-103	OSA03-DOS-103	Saluki			2/1/02	Male		No
demographic	OSA03-DOS-104	OSA03-DOS-104	Great Pyrenees			10/1/05	Male		No
demographic	OSA03-DOS-105	OSA03-DOS-105	Labrador Retriever			5/16/07	Female		Yes
demographic	OSA03-DOS-108	OSA03-DOS-108	Great Pyrenees			5/1/05	Female		Yes
demographic	OSA03-DOS-110	OSA03-DOS-110	Rottweiler			7/7/03	Female	41.6	Yes
demographic	OSA03-DOS-114	OSA03-DOS-114	Rottweiler				Female		Yes
demographic	OSA03-DOS-11	OSA03-DOS-11	Rottweiler			3/15/96	Female		Unknown
demographic	OSA03-DOS-120	OSA03-DOS-120	German Shepherd Dog			1/1/03	Male	39.9	No
demographic	OSA03-DOS-121	OSA03-DOS-121	Brittany			10/25/02	Female	28.6	Yes
demographic	OSA03-DOS-24	OSA03-DOS-24	Golden Retriever			2/17/01	Female		Yes
demographic	OSA03-DOS-29	OSA03-DOS-29	Rottweiler			5/21/97	Female		Unknown
demographic	OSA03-DOS-32-2	OSA03-DOS-32-2	Great Pyrenees			5/18/95	Female	47	Yes
demographic	OSA03-DOS-39	OSA03-DOS-39	Great Dane			1/1/96	Female		Yes
demographic	OSA03-DOS-52	OSA03-DOS-52	Rottweiler			3/17/96	Female		Unknown
demographic	OSA03-DOS-54	OSA03-DOS-54	Boxer			5/5/95	Female		Yes
demographic	OSA03-DOS-55	OSA03-DOS-55	Borzoi			3/4/93	Female		No
demographic	OSA03-DOS-60	OSA03-DOS-60	Mastiff				Female		Unknown
demographic	OSA03-DOS-64	OSA03-DOS-64	Rhodesian Ridgeback			6/26/05	Male		Yes
demographic	OSA03-DOS-66	OSA03-DOS-66	Rottweiler			6/14/98	Female		Yes
demographic	OSA03-DOS-67	OSA03-DOS-67	Mastiff			3/1/94	Female		Yes
demographic	OSA03-DOS-68	OSA03-DOS-68	Golden Retriever			7/1/00	Female		Yes
demographic	OSA03-DOS-69	OSA03-DOS-69	Rottweiler			9/17/96	Male		Yes
demographic	OSA03-DOS-71	OSA03-DOS-71	Golden Retriever			12/20/99	Female		Yes
demographic	OSA03-DOS-75	OSA03-DOS-75	Golden Retriever			4/19/97	Female		Yes
demographic	OSA03-DOS-85	OSA03-DOS-85	Golden Retriever			2/16/99	Female		Yes
demographic	OSA03-DOS-8	OSA03-DOS-8	Rottweiler			1/25/00	Male	62.1	No
