id	participant.id	sample.id	repository_of_synonym_id	synonym_id	updated	type	study
phs002504::1358559	phs002504::UPN1125		dbGaP	1358559		synonym	phs002504
phs002504::1358560	phs002504::UPN1241		dbGaP	1358560		synonym	phs002504
phs002504::1358561	phs002504::UPN1254		dbGaP	1358561		synonym	phs002504
phs002504::1358562	phs002504::UPN1312		dbGaP	1358562		synonym	phs002504
phs002504::1358563	phs002504::UPN1330		dbGaP	1358563		synonym	phs002504
phs002504::1358564	phs002504::UPN1333		dbGaP	1358564		synonym	phs002504
phs002504::1358566	phs002504::UPN1383		dbGaP	1358566		synonym	phs002504
phs002504::1358567	phs002504::UPN1420		dbGaP	1358567		synonym	phs002504
phs002504::1358568	phs002504::UPN1595		dbGaP	1358568		synonym	phs002504
phs002504::1358569	phs002504::UPN1646		dbGaP	1358569		synonym	phs002504
phs002504::1358570	phs002504::UPN1711		dbGaP	1358570		synonym	phs002504
phs002504::1358571	phs002504::UPN1875		dbGaP	1358571		synonym	phs002504
phs002504::1358572	phs002504::UPN1970		dbGaP	1358572		synonym	phs002504
phs002504::1358573	phs002504::UPN1974		dbGaP	1358573		synonym	phs002504
phs002504::1358574	phs002504::UPN1993		dbGaP	1358574		synonym	phs002504
phs002504::1358575	phs002504::UPN2015		dbGaP	1358575		synonym	phs002504
phs002504::1358576	phs002504::UPN2056		dbGaP	1358576		synonym	phs002504
phs002504::1358577	phs002504::UPN2301		dbGaP	1358577		synonym	phs002504
phs002504::1358578	phs002504::UPN2332		dbGaP	1358578		synonym	phs002504
phs002504::1358579	phs002504::UPN2406		dbGaP	1358579		synonym	phs002504
phs002504::1358580	phs002504::UPN2447		dbGaP	1358580		synonym	phs002504
phs002504::1358581	phs002504::UPN2528		dbGaP	1358581		synonym	phs002504
phs002504::1358582	phs002504::UPN2531		dbGaP	1358582		synonym	phs002504
phs002504::1358583	phs002504::UPN2629		dbGaP	1358583		synonym	phs002504
phs002504::1358584	phs002504::UPN2630		dbGaP	1358584		synonym	phs002504
phs002504::3854765	phs002504::J212		dbGaP	3854765		synonym	phs002504
phs002504::3854766	phs002504::J217		dbGaP	3854766		synonym	phs002504
phs002504::3854767	phs002504::J221		dbGaP	3854767		synonym	phs002504
phs002504::3854768	phs002504::J222		dbGaP	3854768		synonym	phs002504
phs002504::3854769	phs002504::J227		dbGaP	3854769		synonym	phs002504
phs002504::3854770	phs002504::J246		dbGaP	3854770		synonym	phs002504
phs002504::3854771	phs002504::J250		dbGaP	3854771		synonym	phs002504
phs002504::3854772	phs002504::J257		dbGaP	3854772		synonym	phs002504
phs002504::3854773	phs002504::J259		dbGaP	3854773		synonym	phs002504
phs002504::3854774	phs002504::J269		dbGaP	3854774		synonym	phs002504
phs002504::3854775	phs002504::J270		dbGaP	3854775		synonym	phs002504
phs002504::3854776	phs002504::J271		dbGaP	3854776		synonym	phs002504
phs002504::3854777	phs002504::J275		dbGaP	3854777		synonym	phs002504
phs002504::3854778	phs002504::J277		dbGaP	3854778		synonym	phs002504
phs002504::3854779	phs002504::J278		dbGaP	3854779		synonym	phs002504
phs002504::3854780	phs002504::J279		dbGaP	3854780		synonym	phs002504
phs002504::3854781	phs002504::J281		dbGaP	3854781		synonym	phs002504
phs002504::3854782	phs002504::J282		dbGaP	3854782		synonym	phs002504
phs002504::3854783	phs002504::J289		dbGaP	3854783		synonym	phs002504
phs002504::3854784	phs002504::J295		dbGaP	3854784		synonym	phs002504
phs002504::3854785	phs002504::J300		dbGaP	3854785		synonym	phs002504
phs002504::3854786	phs002504::J302		dbGaP	3854786		synonym	phs002504
phs002504::3854787	phs002504::J309		dbGaP	3854787		synonym	phs002504
phs002504::3854788	phs002504::J316		dbGaP	3854788		synonym	phs002504
phs002504::3854789	phs002504::J322		dbGaP	3854789		synonym	phs002504
phs002504::3854790	phs002504::J325		dbGaP	3854790		synonym	phs002504
phs002504::3854791	phs002504::J335		dbGaP	3854791		synonym	phs002504
phs002504::3854792	phs002504::J336		dbGaP	3854792		synonym	phs002504
phs002504::3854793	phs002504::J339		dbGaP	3854793		synonym	phs002504
phs002504::3854794	phs002504::J341		dbGaP	3854794		synonym	phs002504
phs002504::3854795	phs002504::J342		dbGaP	3854795		synonym	phs002504
phs002504::3854796	phs002504::J346		dbGaP	3854796		synonym	phs002504
phs002504::3854797	phs002504::J348		dbGaP	3854797		synonym	phs002504
phs002504::3854798	phs002504::J350		dbGaP	3854798		synonym	phs002504
phs002504::3854799	phs002504::J351		dbGaP	3854799		synonym	phs002504
phs002504::3854800	phs002504::J366		dbGaP	3854800		synonym	phs002504
phs002504::3854801	phs002504::J374		dbGaP	3854801		synonym	phs002504
phs002504::3854802	phs002504::J384		dbGaP	3854802		synonym	phs002504
phs002504::3854803	phs002504::J397		dbGaP	3854803		synonym	phs002504
phs002504::3854804	phs002504::J402		dbGaP	3854804		synonym	phs002504
phs002504::3854805	phs002504::J403		dbGaP	3854805		synonym	phs002504
