file_id	file_name	file_type	file_size	md5sum	file_url_in_cds	experimental_strategy_and_data_subtypes	submission_version	type	sample.sample_id	study.phs_accession	participant.study_participant_id
dg.4DFC/9a5f9301-4173-4b3f-9aba-071fee49af3a	10125.bai	BAI	8010248	2fb06bedae40472e9888ba9d1d786acc	s3://cds-207-phs001787/10125.bai	WXS	phs001787.v1.p1	file	112109_DNA	phs001787	phs001787_10125
dg.4DFC/917f1271-fbbe-4492-af9e-69dce3fd1182	10125.bam	BAM	42525692576	5f9d10b6507045fa00d488fcb1e332f5	s3://cds-207-phs001787/10125.bam	WXS	phs001787.v1.p1	file	112109_DNA	phs001787	phs001787_10125
dg.4DFC/e56e191a-96ac-4671-8e3d-1fbbc40b935b	10281X1_130801_700179R_0435_AC2BGVACXX_4_1.txt.gz	TXT	3970135195	347e0e87aea21001be773712c22e998f	s3://cds-207-phs001787/10281X1_130801_700179R_0435_AC2BGVACXX_4_1.txt.gz	WXS	phs001787.v1.p1	file	10281X1_435_4_DNA	phs001787	phs001787_10125
dg.4DFC/de86d240-0f9c-490d-a84f-1f74a7cdb3a4	10281X1_130801_700179R_0435_AC2BGVACXX_4_2.txt.gz	TXT	3916053890	63717895232f8580e173d3d377c0e2c7	s3://cds-207-phs001787/10281X1_130801_700179R_0435_AC2BGVACXX_4_2.txt.gz	WXS	phs001787.v1.p1	file	10281X1_435_4_DNA	phs001787	phs001787_10125
dg.4DFC/6e0850a8-3554-45b9-a223-20ffe6f51ff7	10281X1_130821_700179R_0443_BC2D7DACXX_3_1.txt.gz	TXT	4569934244	4b4866dc77aca23297bead2109763303	s3://cds-207-phs001787/10281X1_130821_700179R_0443_BC2D7DACXX_3_1.txt.gz	WXS	phs001787.v1.p1	file	10281X1_443_3_DNA	phs001787	phs001787_10125
dg.4DFC/8b5e563c-5502-4c74-aef9-000fb605bf72	10281X1_130821_700179R_0443_BC2D7DACXX_3_2.txt.gz	TXT	4580326610	6d4a3b99c530ec9a47965c0523ad18c1	s3://cds-207-phs001787/10281X1_130821_700179R_0443_BC2D7DACXX_3_2.txt.gz	WXS	phs001787.v1.p1	file	10281X1_443_3_DNA	phs001787	phs001787_10125
dg.4DFC/093c0446-050d-462e-a45a-e2776a10060b	10281X1_131211_SN141_0746_AC37WGACXX_1_2.txt.gz	TXT	4149517714	25fa65677b3341a447c6b60d25ab4312	s3://cds-207-phs001787/10281X1_131211_SN141_0746_AC37WGACXX_1_2.txt.gz	WXS	phs001787.v1.p1	file	10281X1_746_1_DNA	phs001787	phs001787_10125
dg.4DFC/c286a3c8-eb04-44f7-954c-fc8141a313e2	10281X1_131211_SN141_0746_AC37WGACXX_1_1.txt.gz	TXT	4104721979	d608b823293c8c7abf5c527996b5c689	s3://cds-207-phs001787/10281X1_131211_SN141_0746_AC37WGACXX_1_1.txt.gz	WXS	phs001787.v1.p1	file	10281X1_746_1_DNA	phs001787	phs001787_10125
dg.4DFC/e7cc5e2f-def8-4aac-86e0-a73dacbf6c91	10218.bam	BAM	85298137625	612e7ed03d55076e2411fc381959f487	s3://cds-207-phs001787/10218.bam	WXS	phs001787.v1.p1	file	118252_DNA	phs001787	phs001787_10218
dg.4DFC/69bb3968-bd0b-4281-88aa-9266130a3cf4	10218.bai	BAI	8803400	b361d37e70205e7409c0b9e03d165558	s3://cds-207-phs001787/10218.bai	WXS	phs001787.v1.p1	file	118252_DNA	phs001787	phs001787_10218
dg.4DFC/f27de033-d69d-4849-b976-0be9e19f50c8	10281X3_130801_700179R_0435_AC2BGVACXX_4_1.txt.gz	TXT	3183736659	b351767c77752da34e299d5153d08675	s3://cds-207-phs001787/10281X3_130801_700179R_0435_AC2BGVACXX_4_1.txt.gz	WXS	phs001787.v1.p1	file	10281X3_435_4_DNA	phs001787	phs001787_10218
dg.4DFC/8139d8ea-b469-4df2-a6a8-b497ab31a345	10281X3_130801_700179R_0435_AC2BGVACXX_4_2.txt.gz	TXT	3106307957	d5930fc4812685502bc8d2a9041a5849	s3://cds-207-phs001787/10281X3_130801_700179R_0435_AC2BGVACXX_4_2.txt.gz	WXS	phs001787.v1.p1	file	10281X3_435_4_DNA	phs001787	phs001787_10218
dg.4DFC/30444a67-e571-4012-bc6b-ae7105038cd0	10281X3_130821_700179R_0443_BC2D7DACXX_3_1.txt.gz	TXT	3222258038	239eed07b2bb4a3546dff228efb3f46c	s3://cds-207-phs001787/10281X3_130821_700179R_0443_BC2D7DACXX_3_1.txt.gz	WXS	phs001787.v1.p1	file	10281X3_443_3_DNA	phs001787	phs001787_10218
dg.4DFC/6d25c17d-d2f1-4b13-9d95-a7037753b212	10281X3_130821_700179R_0443_BC2D7DACXX_3_2.txt.gz	TXT	3193047659	e0b1f0660f9fb1bbda44675a22015156	s3://cds-207-phs001787/10281X3_130821_700179R_0443_BC2D7DACXX_3_2.txt.gz	WXS	phs001787.v1.p1	file	10281X3_443_3_DNA	phs001787	phs001787_10218
dg.4DFC/be3744af-3a90-4d4f-b6ac-b022d61045c9	10281X3_131211_SN141_0746_AC37WGACXX_1_2.txt.gz	TXT	2626766750	3a0a3c5591bee580e857c0440f79e6b8	s3://cds-207-phs001787/10281X3_131211_SN141_0746_AC37WGACXX_1_2.txt.gz	WXS	phs001787.v1.p1	file	10281X3_746_1_DNA	phs001787	phs001787_10218
dg.4DFC/714838dd-1869-4361-84c2-87de3593b701	10281X3_131211_SN141_0746_AC37WGACXX_1_1.txt.gz	TXT	2608713144	62c122434c1b2578b36890230490df66	s3://cds-207-phs001787/10281X3_131211_SN141_0746_AC37WGACXX_1_1.txt.gz	WXS	phs001787.v1.p1	file	10281X3_746_1_DNA	phs001787	phs001787_10218
dg.4DFC/1d02a115-1c09-4b45-8575-c7dc5fb5ce94	11009X1_140725_D00294_0118_BC58A6ANXX_1_2.txt.gz	TXT	4189072526	85443f77577cc7bcab833ee1ae0883f4	s3://cds-207-phs001787/11009X1_140725_D00294_0118_BC58A6ANXX_1_2.txt.gz	WXS	phs001787.v1.p1	file	11009X1_118_1_DNA	phs001787	phs001787_10218
dg.4DFC/a8cedfa2-fc11-4b4a-ac62-c49addb03784	11009X1_140725_D00294_0118_BC58A6ANXX_1_1.txt.gz	TXT	4222692017	b44a421c4246c511918d346db8ccbbc0	s3://cds-207-phs001787/11009X1_140725_D00294_0118_BC58A6ANXX_1_1.txt.gz	WXS	phs001787.v1.p1	file	11009X1_118_1_DNA	phs001787	phs001787_10218
